"","Provincia","Estadillo","Clase","Subclase","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","rumbo","distancia","DRed","specie","dbh_1","dbh_2","height","quality","shape","special_param","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","IFN3_ID","dbh","expan","basal_area"
"93",40,1033,"A","3C",5,5,0,80,15.6,NA,21,239,247,11,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_0","IFN3_40_1033_0","40_1033_A_3C",24.3,14.1471060526129,463.769761504559
"94",40,1033,"A","3C",6,6,0,87,15.8,NA,21,243,248,13,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_0","IFN3_40_1033_0","40_1033_A_3C",24.55,14.1471060526129,473.361436575051
"95",40,1033,"A","3C",7,7,4,91,5.5,NA,21,219,230,13,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_4","IFN3_40_1033_4","40_1033_A_3C",22.45,31.8309886183791,395.842637847722
"96",40,1033,"A","3C",8,8,5,103,6,NA,21,262,268,12,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_5","IFN3_40_1033_5","40_1033_A_3C",26.5,14.1471060526129,551.545860245858
"97",40,1033,"A","3C",9,9,6,131,7.8,NA,21,210,207,12,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_6","IFN3_40_1033_6","40_1033_A_3C",20.85,31.8309886183791,341.430253087547
"98",40,1033,"A","3C",10,10,7,136,9.2,NA,21,167,175,12,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_7","IFN3_40_1033_7","40_1033_A_3C",17.1,31.8309886183791,229.658276959048
"99",40,1033,"A","3C",11,11,8,141,10.5,NA,21,323,328,13,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_8","IFN3_40_1033_8","40_1033_A_3C",32.55,14.1471060526129,832.131317615005
"100",40,1033,"A","3C",12,12,9,147,0.6,NA,21,208,196,11,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_9","IFN3_40_1033_9","40_1033_A_3C",20.2,31.8309886183791,320.473866592695
"101",40,1033,"A","3C",13,13,10,166,6.4,NA,21,263,271,12,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_10","IFN3_40_1033_10","40_1033_A_3C",26.7,14.1471060526129,559.902496704407
"102",40,1033,"A","3C",14,14,11,168,2.6,NA,21,219,222,12,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_11","IFN3_40_1033_11","40_1033_A_3C",22.05,31.8309886183791,381.862550539248
"103",40,1033,"A","3C",15,15,12,170,4.3,NA,21,207,215,12.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_12","IFN3_40_1033_12","40_1033_A_3C",21.1,31.8309886183791,349.667116326178
"104",40,1033,"A","3C",16,16,0,171,14.8,NA,21,292,285,12.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_0","IFN3_40_1033_0","40_1033_A_3C",28.85,14.1471060526129,653.704562854373
"105",40,1033,"A","3C",17,17,0,171,7.7,NA,21,174,181,12.5,2,2,42,NA,NA,NA,"","IFN3","40_1033","40_1033_0","IFN3_40_1033_0","40_1033_A_3C",17.75,31.8309886183791,247.449508855409
"106",40,1033,"A","3C",18,18,0,172,8.9,NA,21,135,142,11.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_0","IFN3_40_1033_0","40_1033_A_3C",13.85,31.8309886183791,150.657039198307
"107",40,1033,"A","3C",19,19,0,173,10.5,NA,21,225,225,12.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_0","IFN3_40_1033_0","40_1033_A_3C",22.5,14.1471060526129,397.607820219958
"108",40,1033,"A","3C",20,20,0,190,12.2,NA,21,282,297,13.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_0","IFN3_40_1033_0","40_1033_A_3C",28.95,14.1471060526129,658.24416423881
"109",40,1033,"A","3C",21,21,13,210,7.5,NA,21,272,263,11.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_13","IFN3_40_1033_13","40_1033_A_3C",26.75,14.1471060526129,562.001473296087
"110",40,1033,"A","3C",22,22,0,220,14.3,NA,21,243,251,12.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_0","IFN3_40_1033_0","40_1033_A_3C",24.7,14.1471060526129,479.163565507149
"111",40,1033,"A","3C",23,23,14,221,6.6,NA,21,241,242,11.5,2,2,NA,NA,NA,NA,"","IFN3","40_1033","40_1033_14","IFN3_40_1033_14","40_1033_A_3C",24.15,14.1471060526129,458.061880352068
